target url,Wedding Reception Photo Booth Rentals,"=HYPERLINK(""https://sites.google.com/view/photoboothrentalsorangecounty/home"", IMAGE(""https://chart.googleapis.com/chart?chs=150x150&cht=qr&chl=https://sites.google.com/view/photoboothrentalsorangecounty/home"",1))",https://sites.google.com/view/photoboothrentalsorangecounty/home,"=HYPERLINK(""https://sites.google.com/view/photoboothrentalsorangecounty/home"",""Wedding Reception Photo Booth Rentals"")",,
folder top,Wedding Reception Photo Booth Rentals,"=HYPERLINK(""https://drive.google.com/drive/folders/1OGWO16Hcq3LcWH9Va308LFUb2rnyuhf1?usp=sharing"", IMAGE(""https://chart.googleapis.com/chart?chs=150x150&cht=qr&chl=https://drive.google.com/drive/folders/1OGWO16Hcq3LcWH9Va308LFUb2rnyuhf1?usp=sharing"",1))",https://drive.google.com/drive/folders/1OGWO16Hcq3LcWH9Va308LFUb2rnyuhf1?usp=sharing,"=HYPERLINK(""https://drive.google.com/drive/folders/1OGWO16Hcq3LcWH9Va308LFUb2rnyuhf1?usp=sharing"",""Wedding Reception Photo Booth Rentals"")",,
rss feed,Wedding Reception Photo Booth Rentals,"=HYPERLINK(""https://news.google.com/rss/search?q=selfiebooth&hl=en-US&gl=US&ceid=US:en"", IMAGE(""https://chart.googleapis.com/chart?chs=150x150&cht=qr&chl=https://news.google.com/rss/search?q=selfiebooth&hl=en-US&gl=US&ceid=US:en"",1))",https://news.google.com/rss/search?q=selfiebooth&hl=en-US&gl=US&ceid=US:en,"=HYPERLINK(""https://news.google.com/rss/search?q=selfiebooth&hl=en-US&gl=US&ceid=US:en"",""Wedding Reception Photo Booth Rentals"")",,
folder articles,Wedding Reception Photo Booth Rentals Articles,"=HYPERLINK(""https://drive.google.com/drive/folders/1La7Z6ZHiHrQicpF_hmaC-xgihJXcM-HB?usp=sharing"", IMAGE(""https://chart.googleapis.com/chart?chs=150x150&cht=qr&chl=https://drive.google.com/drive/folders/1La7Z6ZHiHrQicpF_hmaC-xgihJXcM-HB?usp=sharing"",1))",https://drive.google.com/drive/folders/1La7Z6ZHiHrQicpF_hmaC-xgihJXcM-HB?usp=sharing,"=HYPERLINK(""https://drive.google.com/drive/folders/1La7Z6ZHiHrQicpF_hmaC-xgihJXcM-HB?usp=sharing"",""Wedding Reception Photo Booth Rentals Articles"")",,
folder photos,Wedding Reception Photo Booth Rentals Photos,"=HYPERLINK(""https://drive.google.com/drive/folders/13_qTPaN6pk9jscW_ngEbeJsvzqKDaQu_?usp=sharing"", IMAGE(""https://chart.googleapis.com/chart?chs=150x150&cht=qr&chl=https://drive.google.com/drive/folders/13_qTPaN6pk9jscW_ngEbeJsvzqKDaQu_?usp=sharing"",1))",https://drive.google.com/drive/folders/13_qTPaN6pk9jscW_ngEbeJsvzqKDaQu_?usp=sharing,"=HYPERLINK(""https://drive.google.com/drive/folders/13_qTPaN6pk9jscW_ngEbeJsvzqKDaQu_?usp=sharing"",""Wedding Reception Photo Booth Rentals Photos"")",,
folder pdfs,Wedding Reception Photo Booth Rentals PDFs,"=HYPERLINK(""https://drive.google.com/drive/folders/1NnieMXp661dJVT-iAFjc3FZ9n63CFYyc?usp=sharing"", IMAGE(""https://chart.googleapis.com/chart?chs=150x150&cht=qr&chl=https://drive.google.com/drive/folders/1NnieMXp661dJVT-iAFjc3FZ9n63CFYyc?usp=sharing"",1))",https://drive.google.com/drive/folders/1NnieMXp661dJVT-iAFjc3FZ9n63CFYyc?usp=sharing,"=HYPERLINK(""https://drive.google.com/drive/folders/1NnieMXp661dJVT-iAFjc3FZ9n63CFYyc?usp=sharing"",""Wedding Reception Photo Booth Rentals PDFs"")",,
folder slides,Wedding Reception Photo Booth Rentals Slides,"=HYPERLINK(""https://drive.google.com/drive/folders/16Fx07NeKgBfAI5FQk4XK1lbM1wMw-H5C?usp=sharing"", IMAGE(""https://chart.googleapis.com/chart?chs=150x150&cht=qr&chl=https://drive.google.com/drive/folders/16Fx07NeKgBfAI5FQk4XK1lbM1wMw-H5C?usp=sharing"",1))",https://drive.google.com/drive/folders/16Fx07NeKgBfAI5FQk4XK1lbM1wMw-H5C?usp=sharing,"=HYPERLINK(""https://drive.google.com/drive/folders/16Fx07NeKgBfAI5FQk4XK1lbM1wMw-H5C?usp=sharing"",""Wedding Reception Photo Booth Rentals Slides"")",,
photo,Wedding Reception Photo Booth Rentals,"=HYPERLINK(""https://drive.google.com/file/d/1cVuisblPPXzKlUPvgtbF8PWVe1iI1MOq/view?usp=sharing"", IMAGE(""https://chart.googleapis.com/chart?chs=150x150&cht=qr&chl=https://drive.google.com/file/d/1cVuisblPPXzKlUPvgtbF8PWVe1iI1MOq/view?usp=sharing"",1))",https://drive.google.com/file/d/1cVuisblPPXzKlUPvgtbF8PWVe1iI1MOq/view?usp=sharing,"=HYPERLINK(""https://drive.google.com/file/d/1cVuisblPPXzKlUPvgtbF8PWVe1iI1MOq/view?usp=sharing"",""Wedding Reception Photo Booth Rentals"")",,
photo,Wedding Reception Photo Booth Rentals,"=HYPERLINK(""https://drive.google.com/file/d/1W5kD607CauQ4jkDoK4Z7oz4rLQmbfEUF/view?usp=sharing"", IMAGE(""https://chart.googleapis.com/chart?chs=150x150&cht=qr&chl=https://drive.google.com/file/d/1W5kD607CauQ4jkDoK4Z7oz4rLQmbfEUF/view?usp=sharing"",1))",https://drive.google.com/file/d/1W5kD607CauQ4jkDoK4Z7oz4rLQmbfEUF/view?usp=sharing,"=HYPERLINK(""https://drive.google.com/file/d/1W5kD607CauQ4jkDoK4Z7oz4rLQmbfEUF/view?usp=sharing"",""Wedding Reception Photo Booth Rentals"")",,
spreadsheet,Wedding Reception Photo Booth Rentals,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1v3ulsnOr31hi5ZkLWFOq4sMqbcET6ZI3oGM5QXqdsSo/edit?usp=sharing"", IMAGE(""https://chart.googleapis.com/chart?chs=150x150&cht=qr&chl=https://docs.google.com/spreadsheets/d/1v3ulsnOr31hi5ZkLWFOq4sMqbcET6ZI3oGM5QXqdsSo/edit?usp=sharing"",1))",https://docs.google.com/spreadsheets/d/1v3ulsnOr31hi5ZkLWFOq4sMqbcET6ZI3oGM5QXqdsSo/edit?usp=sharing,"=HYPERLINK(""https://docs.google.com/spreadsheets/d/1v3ulsnOr31hi5ZkLWFOq4sMqbcET6ZI3oGM5QXqdsSo/edit?usp=sharing"",""Wedding Reception Photo Booth Rentals"")",,
